// 경기명 리스트. 모브 우마무스메 목록도 저 아래 있어서 Ctrl+F로 검색하는걸 추천 //
フェブラリーステークス	페브러리 스테이크스
青竜ステークス	청룡 스테이크스
メイステークス	메이 스테이크스
鳳雛ステークス	봉추 스테이크스
韋駄天ステークス	위타천 스테이크스
白百合ステークス	백백합 스테이크스
欅ステークス	느티나무 스테이크스
安土城ステークス	아즈치성 스테이크스
アハルテケステークス	아할 테케 스테이크스
天保山ステークス	텐포산 스테이크스
米子ステークス	요나고 스테이크스
大沼ステークス	오누마 스테이크스
パラダイスステークス	파라다이스 스테이크스
巴賞	토모에상
マリーンステークス	마린 스테이크스
名鉄杯	나고야 철도배
バーデンバーデンカップ	바덴바덴컵
中京ジュニアステークス	츄쿄 주니어 스테이크스
福島テレビオープン	후쿠시마TV 오픈
ダリア賞	달리아상
札幌日経オープン	삿포로 닛케이 오픈
UHB賞	UHB상
阿蘇ステークス	아소 스테이크스
フェニックス賞	피닉스상
コスモス賞	코스모스상
NST賞	NST상
クローバー賞	클로버상
ひまわり賞	해바라기상
BSN賞	BSN상
小倉日経オープン	코쿠라 닛케이 오픈
朱鷺ステークス	따오기 스테이크스
丹頂ステークス	두루미 스테이크스
すずらん賞	은방울꽃상
エニフステークス	에니프 스테이크스
野路菊ステークス	들국화 스테이크스
ラジオ日本賞	라디오 일본상
ききょうステークス	도라지 스테이크스
芙蓉ステークス	부용꽃 스테이크스
カンナステークス	홍초 스테이크스
ポートアイランドステークス	포트아일랜드 스테이크스
オパールステークス	오팔 스테이크스
グリーンチャンネルカップ	그린 채널컵
もみじステークス	단풍 스테이크스
オクトーバーステークス	옥토버 스테이크스
信越ステークス	신에츠 스테이크스
アイビーステークス	아이비 스테이크스
室町ステークス	무로마치 스테이크스
ブラジルカップ	브라질컵
萩ステークス	사철쑥 스테이크스
カシオペアステークス	카시오페이아 스테이크스
ルミエールオータムダッシュ	루미에르 오텀 대시
オーロカップ	ORO컵
福島ジュニアステークス	후쿠시마 주니어 스테이크스
アンドロメダステークス	안드로메다 스테이크스
霜月ステークス	동짓달 스테이크스
福島民友カップ	후쿠시마 민우컵
キャピタルステークス	캐피탈 스테이크스
オータムリーフステークス	오텀 리프 스테이크스
ラピスラズリステークス	라피스 라줄리 스테이크스
師走ステークス	섣달 스테이크스
リゲルステークス	리겔 스테이크스
タンザナイトステークス	탄자나이트 스테이크스
ディセンバーステークス	디셈버 스테이크스
クリスマスローズステークス	크리스마스 로즈 스테이크스
ギャラクシーステークス	갤럭시 스테이크스
ベテルギウスステークス	베텔게우스 스테이크스
レース	레이스
北九州短距離ステークス	키타큐슈 단거리 스테이크스
吾妻小富士ステークス	아즈마코후지 스테이크스
スレイプニルステークス	슬레이프니르 스테이크스
三宮ステークス	산노미야 스테이크스
関越ステークス	간에츠 스테이크스
ながつきステークス	나가츠키 스테이크스
太秦ステークス	우즈마사 스테이크스
アスター賞	우선국상
サフラン賞	사프란상
りんどう賞	용담상
紫菊賞	자국화상
プラタナス賞	플라타너스상
なでしこ賞	패랭이꽃상
百日草特別	백일초 특별
きんもくせい特別	금목서 특별
オキザリス賞	사랑초상
黄菊賞	황국화상
もちの木賞	감탕나무상
赤松賞	적송상
秋明菊賞	추명국상
カトレア賞	카틀레야상
ベゴニア賞	베고니아상
白菊賞	백국화상
葉牡丹賞	모란채상
こうやまき賞	금송상
万両賞	백량금상
黒松賞	흑송상
エリカ賞	에리카상
つわぶき賞	털머위상
ひいらぎ賞	호랑가시나무상
さざんか賞	산다화상
寒椿賞	겨울동백상
千両賞	죽절초상

// 모브 우마무스메 리스트 //
ジュエルネフライト	쥬얼 네프라이트
ブリッジコンプ	브리지 컴프
ミニペロニー	미니 페로니
フレイシュタット	프라이슈타트
エクセレンシー	엑설런시
アクアフォール	아쿠아 폴
バイパーピアース	바이퍼 피어스
ディアレストギフト	디어리스트 기프트
ミニリリー	미니 릴리
コインシデンス	코인시던스
ブリーズシャトル	브리즈 셔틀
チョコチョコ	초코초코
アテーメ	아테메
ソワソワ	소와소와
ミニオーキッド	미니 오키드
リボンフーガ	리본 푸가
サックスリズム	색소폰 리듬
リードマガジン	리드 매거진
ドミナントパワー	도미넌트 파워
ブラウンモンブラン	브라운 몽블랑
バイタルダイナモ	바이털 다이너모
シャンソンジェンヌ	샹송 젠
ミニローズ	미니 로즈
アベックドリーム	아베크 드림
サオウノヴェル	사오 노벨
カイコウイチバン	카이코 이치반
ジャンボゲニーセン	점보 게니센
アジャイルタレント	애자일 탤런트
パワーチャージャー	파워 차저
サラサーテオペラ	사라사테 오페라
アルゴル	알골
リボンノクターン	리본 녹턴
ハープリズム	하프 리듬
スプリングウェル	스프링 웰
クラリネットリズム	클라리넷 리듬
デュオペルテ	듀오 페르테
ハシュハシュ	허시허시
プロペライザー	프로펠라이저
ベーサルシュート	베이설슈트
ジュエルクリスタル	쥬얼 크리스탈
ビヨンドレブリミ	비욘드 레브리미
ブックオブシュガー	북 오브 슈거
フリルドマンダリン	프릴드 만다린
ブラボードス	브라보 도스
ミッショナリー	미셔너리
デュオクリペス	듀오 클리페스
アクアフィヨルド	아쿠아 피오르
アイスホッパー	아이스 호퍼
コーヒーパルフェ	커피 파르페
ブラボーアール	브라보 얼
キュラキュラ	큐라큐라
リフレクター	리플렉터
ベラプラテリア	베라프라테리아
ハードラッカー	하드 래커
エレクトリファイド	일렉트리파이드
レディアダマント	레이디 아다만트
スプーキーナイト	스푸키 나이트
トゥプシマティ	투프시마티
アップツリー	업 트리
カルンウェナン	카른웨난
マルーンスカイ	머룬 스카이
ヴィオラリズム	비올라 리듬
リボンマドリガル	리본 마드리갈
リードファンタジー	리드 판타지
ハルモニアグレイス	하르모니아 그레이스
メイデンチャーム	메이든 참
クスタウィ	쿠스타위
モアザンエニシング	모어 댄 애니싱
ビューティアゲイン	뷰티 어게인
レックレスショット	레클리스 숏
セプタゴンサモナー	셉타곤 서머너
アンコールワンモア	앙코르 원모어
ポルカステップ	폴카 스텝
シャドウストーカー	섀도우 스토커
ディスパッチャー	디스패처
ボルテクスツイスト	볼텍스 트위스트
グリームアトリウム	그림 아트리움
スペシャルパルフェ	스페셜 파르페
ファスターザンレイ	패스터 댄 레이
ロイヤルマリーン	로열 마린
ヘキサキャニオン	헥사 케니언
ベリーマスター	베리 마스터
フルールドシュマン	플뢰르 드 슈만
トンボロ	톰볼로
ビウエラリズム	비우엘라 리듬
ラヴィアンローズ	라비앙로즈
グレイトハウス	그레이트 하우스
ウォーキートーキー	워키토키
スターリープライド	스타리 프라이드
ミニコスモス	미니 코스모스
サーガゴーズオン	사가 고즈 온
シュプールムーバー	슈푸르 무버
フォローザサン	팔로우 더 선
ウィストクラフト	위스트 크래프트
リボンオペレッタ	리본 오페레타
アクアオーシャン	아쿠아 오션
チューターサポート	튜터 서포트
スピーチレスハック	스피치리스 핵
ワークフェイスフル	워크 페이스풀
オーバードレイン	오버 드레인
エキサイトスタッフ	익사이트 스터프
ミニボールサム	미니 발삼
ツウカア	츠카
シャウトマイネーム	샤우트 마이 네임
ローカルストリーム	로컬 스트림
ホットダイナマイト	핫 다이너마이트
ロイヤルサーバント	로열 서번트
デュオシパルー	듀오 시파르
ポライトサルート	펄라이트 설루트
タイドアンドフロウ	타이드 앤드 플로
ジュエルトパーズ	주얼 토파즈
ハートリーレター	하틀리 레터
ジュエルスピネル	쥬얼 스피넬
トコトコ	토코토코
スウィートパルフェ	스위트 파르페
ロイヤルコロネット	로열 코로넷
アゲインストゲイル	어게인스트 게일
オントロジスト	온톨러지스트
アクアラグーン	아쿠아 라군
コンフュージョン	컨퓨전
アットワンマイル	앳 원 마일
リボンララバイ	리본 럴러바이
リードフォトブック	리드 포토북
ブリテンプライム	브리튼 프라임
コルスカンティ	코루스칸티
テンダーステップ	텐더 스텝
ミュシャレディ	뮤샤 레이디
リボンカプリチオ	리본 카프리치오
デュオスヴェル	듀오 스벨
トーチアンドブック	토치 앤드 북
フォシューズ	포슈즈
ジュエルアズライト	쥬얼 애주라이트
リボンミンネ	리본 미네
ドルジェ	도르제
リボンエレジー	리본 엘레지
ナビゲートライト	내비게이트 라이트
クライネキステ	크라이 네키스테
スウィフトアクセル	스위프트 액셀
ドロッピングリンク	드로핑 링크
リードクリティーク	리드 크리티크
トゥージュール	투주르
フリルドピーチ	프릴드 피치
バレエステップ	발레 스텝
セレブアクトレス	세븐 액트리스
シックスパック	식스팩
ローズブーケトス	로즈부케 토스
オネストワーズ	어니스트 워드
エコノアニマル	이코노 애니멀
ウカルディ	우칼디
プレイスインヘヴン	플레이스 인 헤븐
プライマルドーン	프라이멀 돈
ショファーリズム	쇼퍼 리듬
ハイタイムスーン	하이타임 순
ファイネストデイ	파이니스트 데이
テルパンダー	테르 판더
カルテットアコード	쿼텟 어코드
チョークポイント	초크 포인트
ピッコラバリアント	피콜라 배리언트
ホリデーハイク	홀리데이 하이크
セブンスクイーン	세븐스 퀸
ポイズナス	포이즈너스
ポリヒムニア	폴리힘니아
セットユアレコード	세트 유어 레코드
リボンフィナーレ	리본 피날레
バシレイオンタッチ	바실레이온 터치
リボンハミング	리본 허밍
リボンマンボ	리본 맘보
リードポエトリー	리드 포에트리
サコッシュ	사코슈
アップルシードル	애플 시드르
ウェストサイド	웨스트사이드
キャラメルパルフェ	캐러멜 파르페
イツツバクローバー	이츠츠바 클로버
ブラックグリモア	블랙 그리모어
アビルダ	아빌다
ランツクネヒト	란츠크네흐트
コンテストライバル	콘테스트 라이벌
ワガハドウ	와가하도
ボウアンドシールド	보우 앤드 실드
サンセットグルーム	선셋 글룸
デュオバックラー	듀오 버클러
サイドカー	사이드카
サルサステップ	살사 스텝
シャランガ	샤란가
バイプロダクション	바이 프로덕션
リトルトラットリア	리틀 트라토리아
ジュエルペリドット	쥬얼 페리도트
ソプラノリズム	소프라노 리듬
イミディエイト	이미디엇
アライブカリン	얼라이브 카린
ワイスマネージャー	와이스 매니저
ダブルサラウンド	더블 서라운드
ナルキッソス	나르키소스
リズミカルリープ	리드미컬 리프
ビターパルフェ	비터 파르페
タルッケ	타루케
ルンバステップ	룸바 스텝
イノセントグリモア	이노센트 그리모어
アートルムグリモア	아트룸 그리모어
ナーイリズム	나이 리듬
フリルドパイン	프릴드 파인
クピドズシュート	쿠피도즈 슈트
リボンシルベント	리본 실벤트
ブリーズドローン	브리즈 드론
ミニクレマティス	미니 클레마티스
タヴァティムサ	타바팀사
サドンアタック	서든어택
スリヴァッサ	스리밧사
アーリースプラウト	얼리 스프라우트
ロングウェスト	롱 웨스트
リボンヒムヌス	리본 힘누스
ミニナーシサス	미니 나르시서스
トゥトゥヌイ	투투누이
サンフィッシュレイ	선피시 레이
ホットダンス	핫 댄스
スクイーズアウト	스퀴즈 아웃
ディシジョン	디시전
アーケードチャンプ	아케이드 챔프
シンバルリズム	심벌 리듬
ショーマンズアクト	쇼맨즈 액트
プレダトリス	프레다트리스
ムシャムシャ	무샤무샤
リボンガボット	리본 가보트
フライングターキー	플라잉 터키
リーフリーフ	리프리프
プニプニ	푸니푸니
コルネットリズム	코넷 리듬
パンパグランデ	팜파 그란데
ティップオブタン	팁 오브 텅
テトラビブロス	테트라비블로스
ピンクシュシュ	핑크 슈슈
ブリーズグライダー	브리즈 글라이더
オクシデントフォー	옥시던트 포
ディヴィニティー	디비니티
キーボードリズム	키보드 리듬
ブラボードゥ	브라보 두
ミョンミョン	묜묜
スノーフロスト	스노우 프로스트
ジャドプラーテ	자드프라우테
クラシックコメディ	클래식 코미디
グランシャマール	그랜 샤말
ムルーガ	무루가
タウンハングアウト	타운 행아웃
デュオプリュウェン	듀오 프리웬
ディスティネイト	디스티네이트
ヤッピーラッキー	여피러키
バタバタ	바타바타
デュアリングステラ	듀어링 스텔라
アクアオアシス	아쿠아 오아시스
フィールフロイデ	필 프로이데
リボンパストラル	리본 파스토랄
ローズフルヴァーズ	로즈풀 바즈
サマーボンファイア	서머 본파이어
バードアンドクリフ	버드 앤드 클리프
ミコノスチョーク	미코노스 초크
グランドフィースト	그라운드 피스트
ライムシュシュ	라임 슈슈
ブラックエボニー	블랙 에보니
カウリラリス	카우리라리스
ブリーズセスナ	브리즈 세스나
リゾートアイコン	리조트 아이콘
クリシュマルド	콜리슈마르드
パスタイムジョイ	패스타임 조이
ヴァロワマロン	발루아 마롱
リボンロンド	리본 론도
ショートスリーパー	쇼트 슬리퍼
ビーティングパルス	비팅 펄스
シルバーサザンカ	실버 사잔카
プチフォークロア	프티 포클로어
シナモンミルク	시나몬 밀크
ディルハムコイン	디르함 코인
フリルドバナナ	프릴드 바나나
リードヒストリア	리드 히스토리아
ヒロインアドベンツ	히로인 어드벤츠
スーペリアブルーム	슈퍼리어 블룸
フリルドライム	프릴드 라임
フィールザフェイト	필 더 페이트
ドリコスランナー	드리코스 러너
マジャールロンド	마자르 론도
ジャーマンケーキ	저먼 케이크
アクアスプリング	아쿠아 스프링
アウトスタンドギグ	아웃 스탠드 기그
ライフグレイトフル	라이프 그레이트풀
アイアムクイーン	아이 앰 퀸
ブリーズバルーン	브리즈 벌룬
マストチューズミー	머스트 추즈 미
グレーシュシュ	그레이 슈슈
グーテンベルク	구텐베르크
アングータ	안구타
アイタンリ	아이탄리
ジュエルジルコン	쥬얼 지르콘
ビロンギングス	빌롱잉스
アイボリーシュシュ	아이보리 슈슈
オータムマウンテン	오텀 마운틴
ファームボリション	팜 볼리션
デザートベイビー	디저트 베이비
アンチェンジング	언체인징
フェアリーズエコー	페어리즈 에코
サンガリアス	상가리오스
トランペットリズム	트럼펫 리듬
アンバーシュシュ	엄버 슈슈
シャープアトラクト	샤프 어트랙트
メモラビリンス	메모 래버린스
シルバーシュシュ	실버 슈슈
ギミーワンラブ	기미 원 러브
ジュエルトルマリン	쥬얼 투르말린
ブルーアクアマリン	블루 아콰마린
ネプチュネス	넵튜너스
ホーリークワイア	홀리 콰이어
パイケア	파이케아
リボンダージュ	리본 더지
ブリーズチョッパー	브리즈 초퍼
ナターレノッテ	나탈레 노테
グリンタンニ	굴린탄니
ケチャップステップ	케첩 스텝
ワンインチオブラブ	원 인치 오브 러브
ビアンコグリモア	비안코 그리모어
アルベドベラドンナ	알베도 벨라돈나
マリオネットワルツ	마리오네트 왈츠
イマジンサクセス	이매진 석세스
コサックステップ	코사크 스텝
ドリーミネスデイズ	드리미너스 데이즈
アイゼンテンツァー	아이젠텐처
クレセントエース	크레센트 에이스
デュオスクトゥム	듀오 스쿠툼
フリルドオレンジ	프릴드 오렌지
ザンバーハ	잠부라크
ゴーイングノーブル	고잉 노블
ジュエルアメジスト	쥬얼 애미시스트
リバイバルリリック	리바이벌 리릭
ウィズカスパール	위드 캐스퍼
オリノコリエンテ	오리노 코리엔테
カジュアルスナップ	캐쥬얼 스냅
ギガントグレンデル	기간트 그렌델
アウトオブブラック	아웃 오브 블랙
マルシュアス	마르시아스
ブレイクステップ	브레이크 스텝
ジュエルルベライト	쥬얼 루벨라이트
プディングパルフェ	푸딩 파르페
ジパングアプローズ	지팡구 어플로즈
イラッパ	일라파
グリードホロウ	그리드 홀로
オーボエリズム	오보에 리듬
アバブリニ	아바블리니
インテンスリマーク	인텐스 리마크
ミニハーブ	미니 허브
デュオタージェ	듀오 타지
リードサスペンス	리드 서스펜스
リボンオーバード	리본 오바드
フリルドアップル	프릴드 애플
インペリアルタリス	임피리얼 탈리스
ミニジニア	미니 지니아
ドカドカ	도카도카
ステイシャーリーン	스테이 샬린
オレンジシュシュ	오렌지 슈슈
ツールジボワール	툴 디부아르
オボロイブニング	오보로 이브닝
フラメンコステップ	플라멩코 스텝
スイートキャビン	스위트 캐빈
ジェバト	제밧
ヤムヤムパルフェ	염염 파르페
マイトリート	마이 트리트
プライムシーズン	프라임 시즌
サムガーデン	섬 가든
フラワーネット	플라워네트
フリルドグレープ	프릴드 그레이프
レベレント	레버런트
ワルツステップ	왈츠 스텝
キーカード	키 카드
フルートリズム	플루트 리듬
アレイキャット	어레이 캣
ブラックティップド	블랙 팁드
ブロンズシュシュ	브론즈 슈슈
ハートブロウアップ	하트 블로우업
ポーラーディッパー	폴라 디퍼
ジャカルタファンク	자카르타 펑크
ブラングリモア	블랑 그리모어
ラピッドビルダー	래피드 빌더
メモリアルゴラッソ	메모리얼 골라소
サーキットブレーカ	서킷 브레이커
ダルマティアン	달마티안
デュオエキュ	듀오 에큐
ブリーズカイト	브리즈 카이트
ミニベロニカ	미니 베로니카
エンチュフラ	엔추플라
ジャズステップ	재즈 스텝
ユイイツムニ	유이이츠무니
ファーメントウィン	퍼멘트 윈
パンパシフィック	팬퍼시픽
デュオアスピス	듀오 아스피스
トラッドパルフェ	트래드 파르페
シャレミーリズム	샬르미 리듬
バトルオブエラ	배틀 오브 에러
ヴァッサゴ	바사고
フライフィールド	플라이 필드
ジュエルオニキス	쥬얼 오닉스
バリアブルサイト	배리어블 사이트
シルバーベリー	실버 베리
ヒッグススプレイ	힉스 스프레이
ブルータルラッシュ	브루탈 러시
ヘラクレイオンミス	헤라클레이온 미스
ラブリーシルエット	러블리 실루엣
フリルドメロン	프릴드 멜론
ノーティカルツール	노티컬 툴
ソーラーレイ	솔라 레이
ショアライトハウス	쇼어라이트 하우스
クリエイトセンド	크리에이트 센드
サウザンボルテール	사우전 볼테르
タップステップ	탭 스텝
セプテントリオン	셉텐트리온
コードオブハート	코드 오브 하트
リボンカロル	리본 캐롤
フィアースキック	피어스 킥
アジサイゲッコウ	아지사이 겟코
オリジナルシャイン	오리지널 샤인
モルフリッス	몰프리스
ピッコロリズム	피콜로 리듬
ジュエルガーネット	쥬얼 가닛
トモエナゲ	토모에나게
ネレイドランデブー	네레이드 랑데부
フンアープ	우나푸
ビーカイザー	비 카이저
パワフルトルク	파워풀 토크
タクティカルワン	택티컬 원
リボンメヌエット	리본 미뉴에트
アンペールユニット	앙페르 유닛
ミニマリーゴールド	미니 마리골드
エーネアス	에네아스
トラフィックライツ	트래픽 라이트
タマシチ	타마시치
ジュエルスフェーン	쥬얼 스핀
モイストアイズ	모이스트 아이즈
ゴージャスパルフェ	고저스 파르페
クレイジーインラブ	크레이지 인 러브
ソードラマティック	소 드라마틱
ミニコットン	미니 코튼
アンタゴニスト	안타고니스트
マッキラ	마킬라
イズカリ	이즈칼리
ブラボーツヴァイ	브라보 츠바이
ホエロア	호에로아
ティッピングタップ	티핑 탭
シンスフィールド	신스 필드
カラフルパステル	컬러풀 파스텔
セレンスパーク	셀렌 스파크
マルチセルコール	멀티 셀콜
リボンヴィルレー	리본 비를레
フルーツパルフェ	프루트 파르페
ミニダンデライオン	미니 댄디라이언
リボンマズルカ	리본 마주르카
アクアリバー	아쿠아 리버
トロピカルスカイ	트로피컬 스카이
アクアガイザー	아쿠아 가이저
ヴェナバラム	베나불룸
キタラリズム	키타라 리듬
レクイエムウィスプ	레퀴엠 위습
ロイヤルタータン	로열 타탄
ヴァイスグリモア	바이스 그리모어
プカプカ	푸카푸카
ガーリースマイル	걸리 스마일
ウィキッドレディ	위키드 레이디
マリフィクス	말레피쿠스
スカンダ	스칸다
プリメーラチーカ	프리메라 치카
テイクオフプレーン	테이크 오프 플레인
フローズンスカイ	프로즌 스카이
ネクサスフォース	넥서스 포스
ジャラジャラ	자라자라
ブリーズプレーン	브리즈 플레인
フリルドレモン	프릴드 레몬
ルーラルレジャー	루럴 레저
ブルーシュシュ	블루 슈슈
レプリケーション	레플리케이션
ミニラベンダー	미니 라벤더
アグリゲーション	어그리게이션
ブレイブリーコウ	브레이블리 코우
ミニキャクタス	미니 캑터스
ジュエルカルサイト	쥬얼 캘사이트
クラースナヤ	크라스나야
サンドコマンド	샌드 커맨드
ツーリングバイク	투어링 바이크
バイトアルヒクマ	바이트 알 히크마
エレガンジェネラル	엘레강 제너럴
タイムティッキング	타임 티킹
エブリワンライクス	에브리원 라이크스
ロングキャラバン	롱 캐러밴
エンコーダー	인코더
リボンマーチ	리본 마치
メカニカルベイパー	매커니컬 베이퍼
ブレイクチェイン	브레이크 체인
チャタリングチーク	채터링 치크
